1 | 113
1 | 12289
1 | 11727
1 | 11547
1 | 12403
2 | 10324
1 | 12577
1 | 12250
3 | 11683
1 | 299
1 | 10931
1 | 10038
1 | 458
1 | 10189 --> not complete
1 | 541
2 | 10260
1 | 264
1 | 686
1 | 10300
1 | 543
1 | 10071
1 | 272
1 | 10035
1 | 483
1 | 1225
1 | 10696
1 | 10018
1 | 369
1 | 100
1 | 136
1 | 10346
2 | 10394
3 | 486
4 | 12893
1 | 401
2 | 190
1 | 10110
1 | 673
3 | 11371
2 | 11995
3 | 11850
1 | 156
4 | 12150
1 | 10189
2 | 195
1 | 374
2 | 11608
1 | 494
1 | 11332
1 | 591
1 | 10082
1 | 108
1 | 357 *****
2 | 492
1 | 382
1 | 1124
1 | 10550
1 | 11044
1 | 11364
1 | 621
1 | 11764
1 | 11942
1 | 12015
2 | 12157
1 | 12468
2 | 12503
2 | 12554
1 | 11417
3 | 11878
1 | 10424
2 | 11586
1 | 147
1 | 102
1 | 10405
1 | 11462
1 | 674
2 | 12478
1 | 488
1 | 10340
1 | 10008
1 | 10970
1 | 10469
1 | 10107
1 | 12372
1 | 575
1 | 10327
1 | 11461
1 | 694
1 | 11854
1 | 10921
1 | 10929
1 | 10420
1 | 11150
1 | 10019
1 | 499
2 | 755
2 | 482
3 | 10978
1 | 10924
2 | 11192
3 | 11093
1 | 10222
2 | 10226
2 | 11572
3 | 11496
2 | 11340
2 | 11286
1 | 484
2 | 10282
2 | 10295
3 | 11629
3 | 11917
2 | 10703
3 | 11362
3 | 11349
1 | 146
2 | 10190
2 | 11827
1 | 11636
1 | 10235
1 | 11479
1 | 913
3 | 12004
2 | 10656
2 | 481
1 | 10055
3 | 11264
3 | 10920
6 | 1757
6 | 1753

10020--
507 ----> not complete
11710--
10104
342
10140
424
490
495
555
11348
10920

